entname,enttypename,entid,enttypeid,byif_out_util_max,byif_in_util_pct10,byif_name,byif_out_util_pct10,byif_latency_c_avg,description,byif_com_speed_c,byif_out_bit_rate,byif_latency_c_max,byif_out_util_count,byif_out_util_avg,byif_bandwidth,byif_in_bit_rate,byif_errors_c,byif_in_util_count,byif_in_error_c,byif_in_util_avg,byif_in_util_max,byif_desc,location_site,byif_out_error_c
CTEUP,Network - Device,25384,sys:net:dev,8.199,0.537,CPE2,0.475,24,Main Building,DNI-8,1841887.875,24,24,1.841,100000000,2932519.281,0,24,0,2.932,13.916,GigabitEthernet0/0/0,CATANIA S.EUPLIO,0
CTEUP,Network - Device,25384,sys:net:dev,30.603,0.483,CPE1,0.577,31.01,Main Building,DNI-8,2966390.885,32,24,2.966,100000000,3353625.895,0,24,0,3.353,18.229,GigabitEthernet0/0/0,CATANIA S.EUPLIO,0
EN010,Network - Device,29612,sys:net:dev,0.798,0.091,CPE2,0.074,34.635,Branch,DNI-3,183998.427,35,24,0.183,100000000,462789.77,0,24,0,0.462,7.369,Ethernet0/2/0_100,PIAZZA ARMERINA,0
EN010,Network - Device,29612,sys:net:dev,0.999,0.143,CPE1,0.129,38.614,Branch,DNI-3,257976.75,39,24,0.257,100000000,442279.927,0,24,0,0.442,4.856,Ethernet0/2/0_100,PIAZZA ARMERINA,0
EN010,Network - Device,29612,sys:net:dev,0,0,LTE,0,38.447,Branch,DNI-3,0,39,24,0,100000000,0,0,24,0,0,0,LTE,PIAZZA ARMERINA,0
FC041,Network - Device,49584,sys:net:dev,8.585,0.601,CPE2,0.387,31.125,Branch,DNI-2,101401.927,199,24,1.237,8192000,171457.52,0,24,0,2.092,14.02,ATM0/IMA1_1-aal5_layer,PREDAPPIO,0
FC041,Network - Device,49584,sys:net:dev,15.122,0.902,CPE1,0.892,25.145,Branch,DNI-2,248269.312,53,24,3.03,8192000,323227.781,0,24,0,3.945,18.19,ATM0/IMA1_1-aal5_layer,PREDAPPIO,0
FC041,Network - Device,49584,sys:net:dev,0,0,LTE,0,24.458,Branch,DNI-2,0,61,24,0,8192000,0,0,24,0,0,0,LTE,PREDAPPIO,0
CT095,Network - Device,47794,sys:net:dev,0.31,0.263,CPE2,0.262,29,Branch,DNI-3 (8+8),22040.016,29,30,0.269,8192000,21865.583,0,30,0,0.266,0.28,Ethernet0/2/0_100,CATANIA CASSA REGIONALE,0
CT095,Network - Device,47794,sys:net:dev,0.662,0.441,CPE1,0.602,28.341,Branch,DNI-3 (8+8),50079.866,29,30,0.611,8192000,36465.183,0,30,0,0.445,0.469,Ethernet0/2/0_100,CATANIA CASSA REGIONALE,0
CT095,Network - Device,47794,sys:net:dev,0,0,LTE,0,28.408,Branch,DNI-3 (8+8),0,30,30,0,8192000,0,0,30,0,0,0,LTE,CATANIA CASSA REGIONALE,0
CT093,Network - Device,70195,sys:net:dev,0.896,0.11,CPE2,0.066,27.989,Branch,DNI-3,152319.468,28,24,0.152,100000000,293673.697,0,24,0,0.293,3.131,Ethernet0/2/0_100,CATANIA DI LAURIA,0
CT093,Network - Device,70195,sys:net:dev,0.838,0.088,CPE1,0.1,30.979,Branch,DNI-3,174642.781,31,24,0.174,100000000,203264.375,0,24,0,0.203,1.377,Ethernet0/2/0_100,CATANIA DI LAURIA,0
CT093,Network - Device,70195,sys:net:dev,0,0,LTE,0,31,Branch,DNI-3,0,31,24,0,100000000,0,0,24,0,0,0,LTE,CATANIA DI LAURIA,0
CZ002,Network - Device,48055,sys:net:dev,0.91,0.095,CPE2,0.076,36.354,Branch,DNI-3,185116.5,45,24,0.184,100000000,298198.677,0,24,0,0.298,1.889,Ethernet0/2/0_100,CATANZARO LIDO,0
CZ002,Network - Device,48055,sys:net:dev,0.532,0.083,CPE1,0.096,35.947,Branch,DNI-3,163561.239,44,24,0.163,100000000,214174.635,0,24,0,0.214,0.829,Ethernet0/2/0_100,CATANZARO LIDO,0
CZ002,Network - Device,48055,sys:net:dev,0,0,LTE,0,32.906,Branch,DNI-3,0,41,24,0,100000000,0,0,24,0,0,0,LTE,CATANZARO LIDO,0
CT046,Network - Device,38332,sys:net:dev,0.918,0.105,CPE2,0.08,31.01,Branch,DNI-3,196120.635,34,48,0.196,100000000,356212.286,0,48,0,0.356,2.021,Ethernet0/2/0_100,CATANIA BARRIERA DEL BOSCO,0
CT046,Network - Device,38332,sys:net:dev,0.941,0.162,CPE1,0.142,31.005,Branch,DNI-3,290529.958,32,48,0.29,100000000,387535.01,0,48,0,0.387,2.531,Ethernet0/2/0_100,CATANIA BARRIERA DEL BOSCO,0
CT046,Network - Device,38332,sys:net:dev,0,0,LTE,0,31.14,Branch,DNI-3,0,37,48,0,100000000,0,0,48,0,0,0,LTE,CATANIA BARRIERA DEL BOSCO,0
CT083,Network - Device,50494,sys:net:dev,1.408,0.076,CPE2,0.061,33.057,Branch,DNI-3,182532.421,37,48,0.182,100000000,420314.406,0,48,0,0.42,2.934,Ethernet0/2/0_100,ADRANO,0
CT083,Network - Device,50494,sys:net:dev,1.13,0.093,CPE1,0.104,30.578,Branch,DNI-3,250801.75,33,48,0.25,100000000,395027.77,0,48,0,0.395,1.623,Ethernet0/2/0_100,ADRANO,0
CT083,Network - Device,50494,sys:net:dev,0,0,LTE,0,30.661,Branch,DNI-3,0,34,48,0,100000000,0,0,48,0,0,0,LTE,ADRANO,0
CT048,Network - Device,54718,sys:net:dev,10.564,0.842,CPE2,0.497,30.788,Branch,DNI-2 W,160516.25,53,72,1.959,8192000,264896.645,0,72,0,3.233,29.443,GigabitEthernet0/0/0_100,CATANIA VIALE AFRICA,0
CT048,Network - Device,54718,sys:net:dev,9.848,1.275,CPE1,1.24,27.496,Branch,DNI-2 W,200729.763,44,72,2.45,8192000,266752.19,0,72,0,3.256,45.503,GigabitEthernet0/0/0_100,CATANIA VIALE AFRICA,0
CT048,Network - Device,54718,sys:net:dev,0,0,LTE,0,33.559,Branch,DNI-2 W,0,79,72,0,8192000,0,0,72,0,0,0,LTE,CATANIA VIALE AFRICA,0
EN001,Network - Device,25407,sys:net:dev,0.375,0.055,CPE2,0.042,36.01,Branch,DNI-3,85250.25,37,24,0.085,100000000,143471.187,0,24,0,0.143,0.973,Ethernet0/2/0_90,TROINA,0
EN001,Network - Device,25407,sys:net:dev,0.573,0.087,CPE1,0.082,40.593,Branch,DNI-3,162819.427,42,24,0.162,100000000,242532.822,0,24,0,0.242,1.657,Ethernet0/2/0_90,TROINA,0
EN001,Network - Device,25407,sys:net:dev,0,0,LTE,0,40.583,Branch,DNI-3,0,41,24,0,100000000,0,0,24,0,0,0,LTE,TROINA,0
CT078,Network - Device,49087,sys:net:dev,1.139,0.064,CPE2,0.054,34.189,Branch,DNI-3,145811.745,39,54,0.145,100000000,329210.222,0,54,0,0.329,2.124,Ethernet0/2/0_100,BRONTE,0
CT078,Network - Device,49087,sys:net:dev,1.619,0.1,CPE1,0.097,32.004,Branch,DNI-3,245671.129,33,54,0.245,100000000,348009.726,0,54,0,0.348,4.271,Ethernet0/2/0_100,BRONTE,0
CT078,Network - Device,49087,sys:net:dev,0,0,LTE,0,32.023,Branch,DNI-3,0,34,54,0,100000000,0,0,54,0,0,0,LTE,BRONTE,0
EN004,Network - Device,56768,sys:net:dev,1.03,0.532,CPE2,0.557,35.27,Branch,DNI-1,24722.598,42,48,0.603,4096000,27694.208,0,48,0,0.676,9.47,Ethernet0/0/0_90,VILLAROSA,0
EN004,Network - Device,56768,sys:net:dev,1.787,0.893,CPE1,1.131,37.812,Branch,DNI-1,49365.51,42,48,1.205,4096000,42513.317,0,48,0,1.037,4.003,Ethernet0/0/0_90,VILLAROSA,0
EN004,Network - Device,56768,sys:net:dev,0,0,LTE,0,32.38,Branch,DNI-1,0,33,48,0,4096000,0,0,48,0,0,0,LTE,VILLAROSA,0
CT076,Network - Device,31941,sys:net:dev,3.513,0.405,CPE2,0.286,31.052,Branch,DNI-5,125310.864,33,72,0.626,20000000,256720.381,0,72,0,1.283,8.338,GigabitEthernet0/0/0,CALTAGIRONE,0
CT076,Network - Device,31941,sys:net:dev,6.264,0.544,CPE1,0.481,28.701,Branch,DNI-5,197868.687,29,72,0.989,20000000,335137.479,0,72,0,1.675,22.637,GigabitEthernet0/0/0,CALTAGIRONE,0
CT076,Network - Device,31941,sys:net:dev,0,0,LTE,0,32.013,Branch,DNI-5,0,34,72,0,20000000,0,0,72,0,0,0,LTE,CALTAGIRONE,0
CT057,Network - Device,31046,sys:net:dev,0.456,0.059,CPE2,0.051,34.927,Branch,DNI-3,104832.739,35,24,0.104,100000000,176895.635,0,24,0,0.176,2.513,Ethernet0/2/0_90,GRAMMICHELE,0
CT057,Network - Device,31046,sys:net:dev,1.805,0.061,CPE1,0.08,35.468,Branch,DNI-3,191251.666,36,24,0.191,100000000,244682.604,0,24,0,0.244,2.421,Ethernet0/2/0_90,GRAMMICHELE,0
CT057,Network - Device,31046,sys:net:dev,0,0,LTE,0,36.5,Branch,DNI-3,0,37,24,0,100000000,0,0,24,0,0,0,LTE,GRAMMICHELE,0
FC034,Network - Device,41800,sys:net:dev,20.779,1.265,CPE2,1.153,24.708,Branch,DNI-1,92622.5,93,30,2.261,4096000,135744.55,0,30,0,3.314,29.774,ATM0/IMA1_1-aal5_layer,GALEATA,0
FC034,Network - Device,41800,sys:net:dev,12.526,1.994,CPE1,2.144,27.1,Branch,DNI-1,159607.6,102,30,3.896,4096000,224496.566,0,30,0,5.48,55.081,ATM0/IMA1_1-aal5_layer,GALEATA,0
FC034,Network - Device,41800,sys:net:dev,0,0,LTE,0,26.016,Branch,DNI-1,0,76,30,0,4096000,0,0,30,0,0,0,LTE,GALEATA,0
CT103,Network - Device,53832,sys:net:dev,0.832,0.065,CPE2,0.049,32.008,Branch,DNI-3,139068.641,33,30,0.139,100000000,368752.583,0,30,0,0.368,4.159,Ethernet0/2/0_100,SAN GIOVANNI LA PUNTA,0
CT103,Network - Device,53832,sys:net:dev,1.204,0.103,CPE1,0.094,32,Branch,DNI-3,187653.05,32,30,0.187,100000000,292372.35,0,30,0,0.292,2.419,Ethernet0/2/0_100,SAN GIOVANNI LA PUNTA,0
CT103,Network - Device,53832,sys:net:dev,0.068,0,LTE,0,29.766,Branch,DNI-3,760.358,49,30,0,100000000,557.341,0,30,0,0,0.048,LTE,SAN GIOVANNI LA PUNTA,0
FC033,Network - Device,25547,sys:net:dev,1.401,0.121,CPE2,0.089,12.687,Branch,DNI-3,241599.076,16,72,0.241,100000000,429678.409,0,72,0,0.429,3.926,Ethernet0/2/0_100,FORLIMPOPOLI,0
FC033,Network - Device,25547,sys:net:dev,1.244,0.124,CPE1,0.126,11.079,Branch,DNI-3,291371.402,14,72,0.291,100000000,336707.503,0,72,0,0.336,2.844,Ethernet0/2/0_100,FORLIMPOPOLI,0
FC033,Network - Device,25547,sys:net:dev,0,0,LTE,0,15.024,Branch,DNI-3,0,18,72,0,100000000,0,0,72,0,0,0,LTE,FORLIMPOPOLI,0
FC004,Network - Device,48715,sys:net:dev,20.91,0.654,CPE2,0.457,13.27,Branch,DNI-2,176879.156,62,48,2.159,8192000,373870.104,0,48,0,4.563,36.222,GigabitEthernet0/0/0_100,CASTROCARO TERME,0
FC004,Network - Device,48715,sys:net:dev,25.438,1.022,CPE1,0.802,12.072,Branch,DNI-2,189940.27,33,48,2.318,8192000,368740.546,0,48,0,4.501,56.89,GigabitEthernet0/0/0_100,CASTROCARO TERME,0
FC004,Network - Device,48715,sys:net:dev,0,0,LTE,0,12.26,Branch,DNI-2,0,34,48,0,8192000,0,0,48,0,0,0,LTE,CASTROCARO TERME,0
CT105,Network - Device,27085,sys:net:dev,1.613,0.947,CPE1,1.198,35.916,Branch,A1,25495.208,99,72,1.244,2048000,21870.652,0,72,0,1.067,4.732,ATM0/2/0_100-aal5_layer,CATANIA CUTELLI,0
EN007,Network - Device,45905,sys:net:dev,4.627,1.774,CPE1,2.248,56.302,ATM,A1,25927.031,64,24,2.531,1024000,29233.76,0,24,0,2.854,18.837,ATM0/2/0_100-aal5_layer,AIDONE,0
EN007,Network - Device,45905,sys:net:dev,0,0,LTE,0,53.031,ATM,A1,0,54,24,0,1024000,0,0,24,0,0,0,LTE,AIDONE,0
EN009,Network - Device,26969,sys:net:dev,0.502,0.078,CPE2,0.045,33,Branch,DNI-3,96518.546,35,48,0.096,100000000,184760.302,0,48,0,0.184,1.724,Ethernet0/2/0_90,VALGUARNERA CAROPEPE,0
EN009,Network - Device,26969,sys:net:dev,0.495,0.068,CPE1,0.075,36.39,Branch,DNI-3,134804.25,38,48,0.134,100000000,162478.515,0,48,0,0.162,0.869,Ethernet0/2/0_90,VALGUARNERA CAROPEPE,0
EN009,Network - Device,26969,sys:net:dev,0,0,LTE,0,32.52,Branch,DNI-3,0,35,48,0,100000000,0,0,48,0,0,0,LTE,VALGUARNERA CAROPEPE,0
CZ006,Network - Device,53210,sys:net:dev,1.716,0.09,CPE2,0.074,41.531,Branch,DNI-3,269980.333,43,24,0.269,100000000,432551.822,0,24,0,0.432,3.447,Ethernet0/2/0_90,LAMEZIA TERME,0
CZ006,Network - Device,53210,sys:net:dev,3.701,0.127,CPE1,0.13,39.666,Branch,DNI-3,540101.781,60,24,0.54,100000000,656432.781,0,24,0,0.656,4.221,Ethernet0/2/0_90,LAMEZIA TERME,0
CZ006,Network - Device,53210,sys:net:dev,0,0,LTE,0,40.166,Branch,DNI-3,0,49,24,0,100000000,0,0,24,0,0,0,LTE,LAMEZIA TERME,0
CT074,Network - Device,28763,sys:net:dev,1.027,0.059,CPE2,0.036,36.546,Branch,DNI-3,163639.791,40,48,0.163,100000000,281972.406,0,48,0,0.282,1.732,Ethernet0/2/0_90,SCORDIA,0
CT074,Network - Device,28763,sys:net:dev,4.611,0.371,CPE1,0.118,35.447,Branch,DNI-3,283969.494,40,48,0.283,100000000,560512.255,0,48,0,0.56,3.271,Ethernet0/2/0_90,SCORDIA,0
CT074,Network - Device,28763,sys:net:dev,0,0,LTE,0,33.744,Branch,DNI-3,0,40,48,0,100000000,0,0,48,0,0,0,LTE,SCORDIA,0
CT067,Network - Device,33245,sys:net:dev,0.997,0.087,CPE2,0.052,34.489,Branch,DNI-3,118621.854,36,48,0.118,100000000,226401.494,0,48,0,0.226,1.374,Ethernet0/2/0_90,FIUMEFREDDO DI SICILIA,0
CT067,Network - Device,33245,sys:net:dev,0.454,0.109,CPE1,0.125,33.578,Branch,DNI-3,170022.828,36,48,0.17,100000000,314560.104,0,48,0,0.314,7.262,Ethernet0/2/0_90,FIUMEFREDDO DI SICILIA,0
CT067,Network - Device,33245,sys:net:dev,0,0,LTE,0,33.854,Branch,DNI-3,0,36,48,0,100000000,0,0,48,0,0,0,LTE,FIUMEFREDDO DI SICILIA,0
EN014,Network - Device,45152,sys:net:dev,0.781,0.064,CPE2,0.051,34.135,Branch,DNI-3,125866.447,35,24,0.125,100000000,231451.781,0,24,0,0.231,3.573,Ethernet0/2/0_90,NICOSIA,0
EN014,Network - Device,45152,sys:net:dev,0.762,0.118,CPE1,0.111,34.01,Branch,DNI-3,227648.031,35,24,0.227,100000000,312535.395,0,24,0,0.312,1.251,Ethernet0/2/0_90,NICOSIA,0
EN014,Network - Device,45152,sys:net:dev,0,0,LTE,0,35.833,Branch,DNI-3,0,36,24,0,100000000,0,0,24,0,0,0,LTE,NICOSIA,0
CT038,Network - Device,47458,sys:net:dev,0.886,0.084,CPE2,0.059,29.036,Branch,DNI-3,130407.015,30,48,0.13,100000000,218522.161,0,48,0,0.218,0.765,Ethernet0/2/0_100,NICOLOSI,0
CT038,Network - Device,47458,sys:net:dev,1.549,0.097,CPE1,0.078,29.005,Branch,DNI-3,152496.14,30,48,0.152,100000000,246428.989,0,48,0,0.246,2.597,Ethernet0/2/0_100,NICOLOSI,0
CT038,Network - Device,47458,sys:net:dev,0,0,LTE,0,36.01,Branch,DNI-3,0,38,48,0,100000000,0,0,48,0,0,0,LTE,NICOLOSI,0
CZ003,Network - Device,27363,sys:net:dev,0,0,CPE1,0,0,ATM,A1,0,0,24,0,1024000,0,0,24,0,0,0,ATM0/2/0_100-aal5_layer,TELECOM SAN CONO DI SIANO CATANZARO - ATM,0
CZ003,Network - Device,27363,sys:net:dev,0,0,LTE,0,0,ATM,A1,0,0,24,0,1024000,0,0,24,0,0,0,LTE,TELECOM SAN CONO DI SIANO CATANZARO - ATM,0
CT034,Network - Device,26083,sys:net:dev,0.99,0.079,CPE2,0.042,37.483,Branch,DNI-3,131555,39,30,0.131,100000000,245880.575,0,30,0,0.245,3.392,Ethernet0/2/0_90,CATANIA ZONA INDUSTRIALE,0
CT034,Network - Device,26083,sys:net:dev,0.653,0.366,CPE1,0.107,28.183,Branch,DNI-3,184785.325,35,30,0.184,100000000,454556.825,0,30,0,0.454,1.436,Ethernet0/2/0_90,CATANIA ZONA INDUSTRIALE,0
CT034,Network - Device,26083,sys:net:dev,0,0,LTE,0,34.766,Branch,DNI-3,0,39,30,0,100000000,0,0,30,0,0,0,LTE,CATANIA ZONA INDUSTRIALE,0
CT051,Network - Device,64996,sys:net:dev,0.418,0.056,CPE2,0.04,35.01,Branch,DNI-3,87547.864,36,24,0.087,100000000,135970.833,0,24,0,0.135,0.527,Ethernet0/2/0_90,RANDAZZO,0
CT051,Network - Device,64996,sys:net:dev,1.113,0.105,CPE1,0.098,34.031,Branch,DNI-3,224553.208,35,24,0.224,100000000,374571.968,0,24,0,0.374,5.825,Ethernet0/2/0_90,RANDAZZO,0
CT051,Network - Device,64996,sys:net:dev,0,0,LTE,0,38,Branch,DNI-3,0,39,24,0,100000000,0,0,24,0,0,0,LTE,RANDAZZO,0
CT092,Network - Device,54245,sys:net:dev,0.63,0.076,CPE2,0.064,29,Branch,DNI-3,102875.791,29,24,0.102,100000000,179302.822,0,24,0,0.179,3.138,Ethernet0/2/0_100,ACI CASTELLO,0
CT092,Network - Device,54245,sys:net:dev,0.315,0.07,CPE1,0.075,31.979,Branch,DNI-3,117268.875,32,24,0.117,100000000,133307.666,0,24,0,0.133,0.764,Ethernet0/2/0_100,ACI CASTELLO,0
CT092,Network - Device,54245,sys:net:dev,0,0,LTE,0,32.197,Branch,DNI-3,0,33,24,0,100000000,0,0,24,0,0,0,LTE,ACI CASTELLO,0
CT033,Network - Device,68708,sys:net:dev,0.547,0.193,CPE2,0.094,28.973,Branch,DNI-3,165519.572,29,48,0.165,100000000,358917.046,0,48,0,0.358,2.477,Ethernet0/2/0_100,MOTTA SANT'ANASTASIA,0
CT033,Network - Device,68708,sys:net:dev,1.634,0.08,CPE1,0.078,35.015,Branch,DNI-3,156805.927,37,48,0.156,100000000,182637.338,0,48,0,0.182,2.498,Ethernet0/2/0_100,MOTTA SANT'ANASTASIA,0
CT033,Network - Device,68708,sys:net:dev,0,0,LTE,0,36.072,Branch,DNI-3,0,38,48,0,100000000,0,0,48,0,0,0,LTE,MOTTA SANT'ANASTASIA,0
FC008,Network - Device,68071,sys:net:dev,32.895,1.417,CPE2,1.138,15.885,Branch,DNI-2,362110.531,35,24,4.42,8192000,939263.916,0,24,0,11.465,76.527,Ethernet0/2/0_100,CESENA ROVERELLA,0
FC008,Network - Device,68071,sys:net:dev,32.488,2.199,CPE1,2.306,18.625,Branch,DNI-2,531698.041,32,24,6.49,8192000,655960.989,0,24,0,8.007,55.37,Ethernet0/2/0_100,CESENA ROVERELLA,0
FC008,Network - Device,68071,sys:net:dev,0,0,LTE,0,18.166,Branch,DNI-2,0,26,24,0,8192000,0,0,24,0,0,0,LTE,CESENA ROVERELLA,0
CT082,Network - Device,33127,sys:net:dev,0.834,0.06,CPE2,0.045,38.42,Branch,DNI-3,118471.42,42,72,0.118,100000000,261862.927,0,72,0,0.261,2.674,Ethernet0/2/0_90,VIZZINI,0
CT082,Network - Device,33127,sys:net:dev,0.732,0.063,CPE1,0.055,39.826,Branch,DNI-3,128503.965,42,72,0.128,100000000,208667.538,0,72,0,0.208,4.202,Ethernet0/2/0_90,VIZZINI,0
CT082,Network - Device,33127,sys:net:dev,0.055,0.005,LTE,0.004,63.975,Branch,DNI-3,4226.625,79,72,0.004,100000000,5137.756,0,72,0,0.005,0.098,LTE,VIZZINI,0
CT052,Network - Device,45031,sys:net:dev,1.035,0.105,CPE2,0.071,47.281,Branch,DNI-3,197091.812,256,24,0.197,100000000,326702.979,0,24,0,0.326,1.991,Ethernet0/2/0_100,MASCALUCIA,0
CT052,Network - Device,45031,sys:net:dev,1.164,0.192,CPE1,0.19,45.791,Branch,DNI-3,337083.5,161,24,0.337,100000000,423336.822,0,24,0,0.423,1.956,Ethernet0/2/0_100,MASCALUCIA,0
CT052,Network - Device,45031,sys:net:dev,0,0,LTE,0,45.531,Branch,DNI-3,0,179,24,0,100000000,0,0,24,0,0,0,LTE,MASCALUCIA,0
CZBAS,Network - Device,35560,sys:net:dev,3.862,0.161,CPE2,0.137,33.682,Branch,DNI-3,719306.036,50,48,0.719,100000000,1260851.609,0,48,0,1.26,7.824,Ethernet0/2/0_100,CATANZARO BASILICA DELL'IMMACOLATA,0
CZBAS,Network - Device,35560,sys:net:dev,6.13,0.25,CPE1,0.252,32.156,Branch,DNI-3,1034503.333,48,48,1.034,100000000,1421712.119,0,48,0,1.421,11.62,Ethernet0/2/0_100,CATANZARO BASILICA DELL'IMMACOLATA,0
CZBAS,Network - Device,35560,sys:net:dev,0,0,LTE,0,34.14,Branch,DNI-3,0,51,48,0,100000000,0,0,48,0,0,0,LTE,CATANZARO BASILICA DELL'IMMACOLATA,0
CT058,Network - Device,26347,sys:net:dev,1.973,0.238,CPE2,0.122,30.76,Branch,DNI-3,333151.822,34,24,0.333,100000000,729606.916,0,24,0,0.729,7.034,Ethernet0/2/0_100,GIARRE,0
CT058,Network - Device,26347,sys:net:dev,2.317,0.121,CPE1,0.142,28.104,Branch,DNI-3,366760.104,29,24,0.366,100000000,403267.031,0,24,0,0.403,1.828,Ethernet0/2/0_100,GIARRE,0
CT058,Network - Device,26347,sys:net:dev,0,0,LTE,0,28.989,Branch,DNI-3,0,29,24,0,100000000,0,0,24,0,0,0,LTE,GIARRE,0
CT045,Network - Device,46827,sys:net:dev,1.184,0.233,CPE2,0.109,30.718,Branch,DNI-3,236606.847,31,72,0.236,100000000,563321.371,0,72,0,0.563,6.717,Ethernet0/2/0_100,CATANIA LEOPARDI,0
CT045,Network - Device,46827,sys:net:dev,5.28,0.108,CPE1,0.1,34,Branch,DNI-3,282427.878,34,72,0.282,100000000,278499.677,0,72,0,0.278,2.106,Ethernet0/2/0_100,CATANIA LEOPARDI,0
CT045,Network - Device,46827,sys:net:dev,0,0,LTE,0,31.375,Branch,DNI-3,0,36,72,0,100000000,0,0,72,0,0,0,LTE,CATANIA LEOPARDI,0
EN015,Network - Device,27372,sys:net:dev,2.684,0.29,CPE2,0.297,30.27,Branch,DNI-6,217734.76,31,24,0.725,30000000,309195.812,0,24,0,1.03,6.412,GigabitEthernet0/0/0_100,ENNA,0
EN015,Network - Device,27372,sys:net:dev,5.223,0.506,CPE1,0.501,28.02,Branch,DNI-6,418934.312,31,24,1.396,30000000,560574.104,0,24,0,1.868,12.289,GigabitEthernet0/0/0_100,ENNA,0
EN015,Network - Device,27372,sys:net:dev,0,0,LTE,0,27.041,Branch,DNI-6,0,28,24,0,30000000,0,0,24,0,0,0,LTE,ENNA,0
CT090,Network - Device,52333,sys:net:dev,1.08,0.054,CPE2,0.035,29.005,Branch,DNI-3,139812.526,30,48,0.139,100000000,412035.562,0,48,0,0.412,6.177,Ethernet0/2/0_100,TRECASTAGNI,0
CT090,Network - Device,52333,sys:net:dev,1.707,0.073,CPE1,0.067,30.505,Branch,DNI-3,187210.239,33,48,0.187,100000000,408768.114,0,48,0,0.408,3.631,Ethernet0/2/0_100,TRECASTAGNI,0
CT090,Network - Device,52333,sys:net:dev,0,0,LTE,0,32.02,Branch,DNI-3,0,33,48,0,100000000,0,0,48,0,0,0,LTE,TRECASTAGNI,0
EN005,Network - Device,39918,sys:net:dev,0.792,0.084,CPE2,0.046,36.355,Branch,DNI-3,106678.346,40,78,0.106,100000000,195907.378,0,78,0,0.195,2.969,Ethernet0/2/0_90,CATENANUOVA,0
EN005,Network - Device,39918,sys:net:dev,6.157,0.097,CPE1,0.088,42.009,Branch,DNI-3,194108.81,44,78,0.194,100000000,219051.41,0,78,0,0.219,1.185,Ethernet0/2/0_90,CATENANUOVA,0
EN005,Network - Device,39918,sys:net:dev,0,0,LTE,0,44.041,Branch,DNI-3,0,92,78,0,100000000,0,0,78,0,0,0,LTE,CATENANUOVA,0
CT121,Network - Device,49518,sys:net:dev,1.163,0.14,CPE2,0.074,29.583,Branch,DNI-3,223314.232,33,72,0.223,100000000,464384.482,0,72,0,0.464,3.028,Ethernet0/2/0_100,,0
CT121,Network - Device,49518,sys:net:dev,1.44,0.141,CPE1,0.138,33.243,Branch,DNI-3,248925.201,37,72,0.248,100000000,392054.975,0,72,0,0.392,3.488,Ethernet0/2/0_100,,0
CT121,Network - Device,49518,sys:net:dev,0.003,0,LTE,0,34.482,Branch,DNI-3,9.802,38,72,0,100000000,9.062,0,72,0,0,0.003,LTE,,0
CT056,Network - Device,49902,sys:net:dev,0.937,0.052,CPE2,0.029,29.019,Branch,DNI-3,99343.16,32,78,0.099,100000000,182999.403,0,78,0,0.182,2.359,Ethernet0/2/0_90,LINGUAGLOSSA,0
CT056,Network - Device,49902,sys:net:dev,2.655,0.077,CPE1,0.065,29.201,Branch,DNI-3,168986.66,35,78,0.168,100000000,262764.429,0,78,0,0.262,5.414,Ethernet0/2/0_90,LINGUAGLOSSA,0
CT056,Network - Device,49902,sys:net:dev,0.044,0,LTE,0,31.814,Branch,DNI-3,217.592,44,78,0,100000000,512.724,0,78,0,0,0.097,LTE,LINGUAGLOSSA,0
FC021,Network - Device,46197,sys:net:dev,1.238,0.132,CPE2,0.113,15.197,Branch,DNI-3,318078.333,18,24,0.317,100000000,470782.458,0,24,0,0.47,3.513,Ethernet0/2/0_100,FORLI' STADIUM,0
FC021,Network - Device,46197,sys:net:dev,1.214,0.136,CPE1,0.186,24.479,Branch,DNI-3,395240.843,35,24,0.395,100000000,460763.937,0,24,0,0.46,2.627,Ethernet0/2/0_100,FORLI' STADIUM,0
FC021,Network - Device,46197,sys:net:dev,0,0,LTE,0,25.01,Branch,DNI-3,0,26,24,0,100000000,0,0,24,0,0,0,LTE,FORLI' STADIUM,0
CT068,Network - Device,27637,sys:net:dev,1.375,0.103,CPE2,0.064,32.01,Branch,DNI-3,222114.822,33,48,0.222,100000000,556502.166,0,48,0,0.556,6.93,Ethernet0/2/0_100,RIPOSTO,0
CT068,Network - Device,27637,sys:net:dev,5.739,0.115,CPE1,0.109,30.593,Branch,DNI-3,362213.468,46,48,0.362,100000000,453808.192,0,48,0,0.453,5.616,Ethernet0/2/0_100,RIPOSTO,0
CT068,Network - Device,27637,sys:net:dev,0,0,LTE,0,29.067,Branch,DNI-3,0.328,35,48,0,100000000,0.005,0,48,0,0,0,LTE,RIPOSTO,0
CT085,Network - Device,50808,sys:net:dev,9.532,0.825,CPE2,0.712,34.583,Branch,DNI-6,474136.354,36,24,1.58,30000000,749853.947,0,24,0,2.499,22.176,GigabitEthernet0/0/0,ACIREALE,0
CT085,Network - Device,50808,sys:net:dev,11.095,0.689,CPE1,0.696,28.02,Branch,DNI-6,604899.02,29,24,2.016,30000000,681814.364,0,24,0,2.272,12.259,GigabitEthernet0/0/0,ACIREALE,0
CT085,Network - Device,50808,sys:net:dev,0,0,LTE,0,25.041,Branch,DNI-6,0,27,24,0,30000000,0,0,24,0,0,0,LTE,ACIREALE,0
