entname,enttypename,entid,enttypeid,byif_out_util_max,byif_in_util_pct10,byif_name,byif_out_util_pct10,byif_latency_c_avg,description,byif_com_speed_c,byif_out_bit_rate,byif_latency_c_max,byif_out_util_count,byif_out_util_avg,byif_bandwidth,byif_in_bit_rate,byif_errors_c,byif_in_util_count,byif_in_error_c,byif_in_util_avg,byif_in_util_max,byif_desc,location_site,byif_out_error_c
AG036,Network - Device,41992,sys:net:dev,0,0,LTE,0,39.343,Branch,DNI-1,0,74,48,0,4096000,0,0,48,0,0,0,LTE,CATTOLICA ERACLEA,0
AL007,Network - Device,22667,sys:net:dev,1.51,0.089,CPE2,0.071,10.093,Branch,DNI-3,301702.942,13,48,0.301,100000000,636956.302,0,48,0,0.636,5.735,Ethernet0/2/0_90,OVADA,0
AL007,Network - Device,22667,sys:net:dev,2.415,0.116,CPE1,0.11,14.135,Branch,DNI-3,347368.958,20,48,0.347,100000000,489276.072,0,48,0,0.489,4.788,Ethernet0/2/0_90,OVADA,0
AL007,Network - Device,22667,sys:net:dev,0,0,LTE,0,14.63,Branch,DNI-3,0,18,48,0,100000000,0,0,48,0,0,0,LTE,OVADA,0
AG063,Network - Device,48267,sys:net:dev,0.42,0.075,CPE2,0.044,56.791,Branch,DNI-3,87797.156,58,48,0.087,100000000,169067.708,0,48,0,0.169,1.767,Ethernet0/2/0_90,LAMPEDUSA,0
AG063,Network - Device,48267,sys:net:dev,0.845,0.103,CPE1,0.063,63.546,Branch,DNI-3,147123.468,65,48,0.147,100000000,293454.161,0,48,0,0.293,2.753,Ethernet0/2/0_90,LAMPEDUSA,0
AG063,Network - Device,48267,sys:net:dev,0.041,0.005,LTE,0.004,102.177,Branch,DNI-3,9359.25,187,48,0.009,100000000,5641.25,0,48,0,0.005,0.01,LTE,LAMPEDUSA,0
AN038,Network - Device,51856,sys:net:dev,0.436,0.064,CPE2,0.042,24,Branch,DNI-3,91147.114,24,24,0.091,100000000,172153.083,0,24,0,0.172,1.119,Ethernet0/2/0_90,POLVERIGI,0
AN038,Network - Device,51856,sys:net:dev,1.181,0.088,CPE1,0.087,30,Branch,DNI-3,181958.76,30,24,0.182,100000000,273962.458,0,24,0,0.274,2.772,Ethernet0/2/0_90,POLVERIGI,0
AN038,Network - Device,51856,sys:net:dev,0,0,LTE,0,25,Branch,DNI-3,0,25,24,0,100000000,0,0,24,0,0,0,LTE,POLVERIGI,0
AL040,Network - Device,47761,sys:net:dev,0.509,0.049,CPE2,0.034,15.208,Branch,DNI-3,77003.687,16,24,0.076,100000000,127837.77,0,24,0,0.127,0.918,Ethernet0/2/0_100,NOVI LIGURE DON MINZONI - UPB,0
AL040,Network - Device,47761,sys:net:dev,0.589,0.075,CPE1,0.072,13,Branch,DNI-3,127879.395,13,24,0.127,100000000,150018.666,0,24,0,0.149,0.949,Ethernet0/2/0_100,NOVI LIGURE DON MINZONI - UPB,0
AL040,Network - Device,47761,sys:net:dev,0,0,LTE,0,10.197,Branch,DNI-3,0,11,24,0,100000000,0,0,24,0,0,0,LTE,NOVI LIGURE DON MINZONI - UPB,0
AG011,Network - Device,53650,sys:net:dev,0.696,0.063,CPE2,0.045,33.052,Branch,DNI-3,159781.718,34,24,0.159,100000000,250218.552,0,24,0,0.25,1.172,Ethernet0/2/0_100,PORTO EMPEDOCLE,0
AG011,Network - Device,53650,sys:net:dev,0.943,0.075,CPE1,0.074,29.083,Branch,DNI-3,211612.104,30,24,0.211,100000000,316689.093,0,24,0,0.316,1.846,Ethernet0/2/0_100,PORTO EMPEDOCLE,0
